idade,salario_anual,frequencia_compra,gasto_mensal,tempo_como_cliente,uso_aplicacao
56,28236,13,235,11,3
69,32167,12,186,12,5
46,41577,13,365,6,10
32,17222,14,385,14,4
60,31304,14,198,7,4
25,31269,17,270,5,4
38,41048,9,150,13,10
56,27279,10,330,6,8
36,37836,12,328,5,6
40,43232,17,227,14,3
28,7802,10,251,7,10
28,44023,6,242,2,5
41,18175,14,128,14,6
53,16872,8,365,11,5
57,-4553,6,192,5,6
41,20361,18,192,6,8
20,29941,15,238,6,7
39,25400,14,324,5,5
19,24449,8,205,10,10
41,16650,15,103,7,6
61,40406,16,183,10,4
47,41500,11,281,8,9
55,35017,15,414,7,4
19,7361,13,155,5,1
38,57280,6,152,1,7
50,31763,9,136,13,7
29,36475,12,127,5,4
39,12020,14,340,10,3
61,29862,13,362,2,8
42,34960,13,263,13,5
66,28309,13,214,5,10
44,40465,10,384,5,7
59,45604,13,263,2,4
45,13877,12,331,5,4
33,40201,19,211,13,8
32,34732,9,253,4,8
64,29943,12,157,1,2
68,11150,4,297,3,2
61,47758,17,264,1,3
69,34761,18,182,12,3
20,8600,14,183,11,1
54,27082,14,371,5,3
68,33926,12,397,4,6
24,36078,14,234,7,8
38,28468,15,255,5,10
26,34099,14,280,10,6
56,55426,6,261,14,5
35,48558,18,124,4,4
21,18605,13,282,2,3
42,22837,11,93,4,4
31,28665,12,195,12,7
67,9011,14,287,2,1
26,13903,7,294,8,7
43,10539,7,189,3,1
19,16227,13,215,9,2
37,46675,7,205,13,4
45,19737,15,242,4,1
64,17675,9,247,13,9
24,40594,18,300,6,6
61,24608,8,211,10,1
25,35023,10,278,5,1
64,21261,14,288,10,6
52,8377,13,264,13,4
31,35612,11,230,1,4
34,11382,10,263,9,6
53,23874,12,306,1,7
67,21204,9,312,8,9
57,32344,11,386,9,10
21,23328,14,175,9,5
19,28467,12,216,1,9
23,11273,15,128,2,4
59,54004,9,319,12,10
21,15598,12,224,13,2
46,44416,7,265,1,3
35,31798,11,204,10,1
43,31690,13,225,2,6
61,34253,12,341,10,6
51,7436,11,302,12,1
27,41596,13,241,8,3
53,23868,13,307,5,5
31,44524,20,309,12,3
48,28185,9,220,11,10
65,25505,10,139,7,3
32,14505,18,182,2,10
25,20813,7,149,8,3
31,35067,14,337,11,5
40,14305,15,350,6,5
57,6112,14,368,8,4
38,19709,11,98,1,1
33,40080,6,330,1,5
62,51375,7,415,12,10
35,21871,8,333,7,5
64,11414,16,88,8,4
41,25882,10,382,13,6
43,32206,13,253,3,10
42,36934,15,232,5,4
62,55615,15,283,12,7
58,32722,7,171,1,7
46,49865,12,250,7,2
32,24444,18,371,5,3
62,31038,9,296,8,1
18,22885,8,254,13,8
42,21839,10,256,8,9
24,26839,9,161,9,4
26,26632,9,238,7,6
41,22752,12,127,11,9
18,23408,10,326,1,6
61,43161,11,86,13,9
25,55357,15,314,3,4
41,24019,12,323,8,8
28,26107,11,348,3,9
68,36295,13,256,8,4
34,68244,14,318,1,5
25,31009,12,238,5,8
52,41671,12,160,4,10
52,48533,7,364,5,6
50,34128,6,242,8,7
22,41114,12,144,10,3
59,37294,16,214,14,7
56,42390,12,217,4,8
58,17587,8,284,11,10
45,32451,13,426,4,6
24,35774,13,289,3,10
26,35604,13,265,7,9
25,43644,8,434,3,6
29,35362,10,323,12,9
51,16260,13,269,3,4
50,37095,16,214,11,8
65,19403,13,273,10,4
40,21607,16,245,5,2
41,24977,10,256,5,10
54,28662,10,348,14,9
52,11475,15,209,6,5
61,43402,12,288,8,4
57,16133,12,321,10,2
39,48841,11,200,6,1
44,16500,13,188,12,7
52,45383,14,238,1,6
18,29658,16,215,8,2
52,9402,16,336,8,8
54,17484,5,174,9,4
64,45917,12,255,9,8
31,35383,7,440,2,7
20,29055,9,280,2,5
18,3398,14,293,3,10
22,46674,13,337,1,10
43,52445,13,215,4,8
31,50256,11,168,14,9
56,22617,11,263,4,5
44,34593,20,269,14,10
26,35905,11,128,9,5
32,11670,14,278,9,2
32,32165,20,330,9,5
43,42852,20,181,10,3
59,39173,12,282,7,7
30,16666,12,316,14,10
68,19648,20,294,2,5
49,39487,13,301,10,8
56,37594,10,231,5,1
66,2950,11,165,4,3
69,520,13,216,12,3
49,29081,6,206,11,9
21,22924,10,243,8,5
47,26420,14,331,2,9
54,25064,15,151,6,9
40,41808,17,260,13,1
56,31242,14,170,5,2
62,33211,14,194,12,5
32,13892,13,291,2,4
60,-10369,10,160,11,10
46,43482,14,305,10,9
53,55718,7,148,1,7
30,25888,15,300,8,6
49,32991,5,133,2,7
24,33894,12,203,7,1
68,50103,14,392,9,1
39,40667,13,378,9,8
45,35952,17,219,8,2
19,30666,11,279,11,10
59,30722,13,340,14,9
62,12726,12,301,12,7
23,25398,15,229,10,6
45,40634,11,193,9,1
45,27195,11,315,2,1
61,30532,8,334,6,2
61,15886,18,378,4,6
37,35346,6,123,14,6
47,12458,12,156,4,2
28,33478,9,337,5,1
45,27753,6,133,12,10
42,9080,12,342,3,5
56,42833,10,233,14,5
50,28033,14,210,1,2
18,52329,4,265,8,6
44,47739,11,149,5,9
69,19446,9,311,3,2
30,20499,5,376,10,10
58,15936,16,315,14,2
20,10962,16,231,7,3
56,24933,13,134,7,7
23,47324,12,137,1,6
25,7021,12,150,12,8
44,40223,12,249,9,8
26,39220,12,258,2,6
54,36656,15,315,5,10
50,38798,11,115,13,3
68,16749,9,348,14,3
59,39138,18,302,5,1
61,23408,10,225,14,7
41,489,21,160,8,5
32,30688,12,343,14,4
49,19870,13,227,8,10
49,46305,12,248,14,4
41,26563,15,278,7,4
58,30547,17,181,7,6
69,34670,8,228,12,8
66,26791,10,314,11,8
66,28753,18,307,6,5
69,40122,14,307,6,6
29,17204,12,163,11,4
56,21578,15,232,9,9
19,18394,8,220,6,8
20,47241,10,281,12,10
66,21579,7,275,13,10
54,28280,7,261,13,1
66,22792,16,434,2,2
34,26301,8,228,2,9
66,21150,15,219,13,8
19,35552,8,163,5,3
19,17509,14,134,4,8
45,13770,5,158,11,1
40,23298,14,196,2,10
54,20421,14,348,3,4
49,13945,11,252,7,3
50,26119,16,264,8,6
18,10078,16,242,12,7
36,50732,7,277,13,4
19,12088,12,355,6,7
61,22244,10,100,11,9
43,25157,15,341,5,2
49,50216,21,61,13,3
23,9236,15,252,1,5
49,31704,10,414,8,3
21,42445,14,301,3,8
28,26283,14,277,6,10
34,15962,12,400,3,8
55,28704,8,197,7,8
41,48325,6,282,13,9
22,22610,11,293,14,4
69,47234,10,210,7,5
51,33104,22,217,12,5
23,44790,12,209,9,8
39,32624,13,256,5,7
28,24187,9,291,8,9
65,49666,9,259,10,8
33,32702,14,303,10,2
50,31997,13,102,8,10
26,39690,12,233,1,4
23,41089,14,173,12,6
33,39754,17,272,5,2
46,13791,15,271,3,7
20,22353,7,241,1,3
37,22121,9,288,4,3
53,20651,6,324,8,2
36,19534,17,245,3,8
43,21947,16,171,10,6
20,34031,8,131,2,1
36,35932,16,252,11,1
37,29980,13,268,9,7
49,24887,13,177,10,8
24,45305,13,304,5,5
69,28901,13,215,14,5
58,41244,14,125,7,4
50,23168,13,344,11,6
57,34964,12,335,11,6
56,46105,8,98,2,3
35,-1305,14,207,9,9
57,22138,14,204,13,7
18,37124,13,372,9,1
28,44553,12,242,4,7
45,32437,17,137,4,5
42,30594,4,316,6,5
67,49326,10,157,10,2
40,45287,12,230,10,4
48,19577,11,192,10,6
47,31396,11,207,6,10
59,34322,16,320,12,7
52,50623,21,364,1,5
24,40392,16,154,14,9
33,28757,12,296,14,3
43,32640,12,195,9,1
65,7393,13,197,2,4
69,41623,15,286,5,9
66,37748,10,172,9,4
19,44545,12,285,4,2
18,28271,9,304,11,10
65,31536,11,217,3,5
29,24223,13,349,7,3
22,16223,12,154,6,9
54,22772,5,350,8,4
